# SN 2020oi - bolometric mode (BB all-bands, E(B-V)=0.199, locked BC)
# time_days  log10_L_erg_s  sigma_total_logL  sigma_stat_logL  sigma_sys_logL
     1.502    41.513717          0.271300        0.030000       0.269636
     2.294    41.637359          0.139588        0.030000       0.136326
     2.696    41.730643          0.086765        0.030000       0.081414
     3.680    41.936095          0.059192        0.030000       0.051027
     5.274    42.176536          0.038662        0.030000       0.024387
     5.441    42.217678          0.066584        0.030000       0.059442
     5.920    42.298850          0.041008        0.030000       0.027958
     6.037    42.295920          0.036920        0.030000       0.021519
     7.310    42.449300          0.030066        0.030000       0.001996
     8.325    42.493260          0.036854        0.030000       0.021405
    10.950    42.551984          0.078289        0.030000       0.072313
    11.950    42.598527          0.036995        0.030000       0.021648
    14.940    42.503547          0.098525        0.030000       0.093846
    15.320    42.484937          0.107550        0.030000       0.103281
    15.940    42.461935          0.094147        0.030000       0.089239
    16.940    42.412652          0.084297        0.030000       0.078778
    17.278    42.341349          0.059669        0.030000       0.051579
    17.462    42.350362          0.074071        0.030000       0.067724
    17.970    42.344514          0.064849        0.030000       0.057493
    19.020    42.288462          0.040981        0.030000       0.027919
    19.056    42.299284          0.042736        0.030000       0.030436
    19.940    42.228028          0.037951        0.030000       0.023244
    21.481    42.137396          0.034981        0.030000       0.017991
    21.920    42.137081          0.035103        0.030000       0.018226
    21.991    42.141336          0.031102        0.030000       0.008205
    22.989    42.105692          0.051504        0.030000       0.041865
    27.499    41.862017          0.105960        0.030000       0.101625
    28.051    41.847742          0.065313        0.030000       0.058016
    29.080    41.851904          0.030121        0.030000       0.002700
    30.476    41.781877          0.080358        0.030000       0.074548
    33.336    41.707658          0.083343        0.030000       0.077756
    33.476    41.708891          0.079254        0.030000       0.073356
    38.277    41.631493          0.037464        0.030000       0.022441
    39.053    41.674902          0.036126        0.030000       0.020127
    45.401    41.521839          0.037394        0.030000       0.022322
    45.930    41.552020          0.043978        0.030000       0.032156
    46.398    41.528162          0.056664        0.030000       0.048071
    47.350    41.463894          0.031269        0.030000       0.008818
    47.379    41.499303          0.037701        0.030000       0.022833
    56.199    41.399246          0.030050        0.030000       0.001734
    57.406    41.403826          0.031490        0.030000       0.009573
    68.070    41.282982          0.032505        0.030000       0.012513
    74.012    41.237774          0.031594        0.030000       0.009908
    82.050    41.094431          0.033511        0.030000       0.014932
    82.373    41.120565          0.061467        0.030000       0.053649
   106.350    40.879228          0.040399        0.030000       0.027056
