case	ni_frac	ni_period_max
leg_2d_f0p05d0_pm5p0d4	0.05d0	5.0d4
leg_2d_f0p05d0_pm1p728d5	0.05d0	1.728d5
leg_2d_f0p05d0_pm3p456d5	0.05d0	3.456d5
leg_2d_f0p05d0_pm5p456d5	0.05d0	5.456d5
leg_2d_f0p05d0_pm8p64d5	0.05d0	8.64d5
leg_2d_f0p05d0_pm1p728d6	0.05d0	1.728d6
leg_2d_f0p10d0_pm5p0d4	0.10d0	5.0d4
leg_2d_f0p10d0_pm1p728d5	0.10d0	1.728d5
leg_2d_f0p10d0_pm3p456d5	0.10d0	3.456d5
leg_2d_f0p10d0_pm5p456d5	0.10d0	5.456d5
leg_2d_f0p10d0_pm8p64d5	0.10d0	8.64d5
leg_2d_f0p10d0_pm1p728d6	0.10d0	1.728d6
leg_2d_f0p20d0_pm5p0d4	0.20d0	5.0d4
leg_2d_f0p20d0_pm1p728d5	0.20d0	1.728d5
leg_2d_f0p20d0_pm3p456d5	0.20d0	3.456d5
leg_2d_f0p20d0_pm5p456d5	0.20d0	5.456d5
leg_2d_f0p20d0_pm8p64d5	0.20d0	8.64d5
leg_2d_f0p20d0_pm1p728d6	0.20d0	1.728d6
leg_2d_f0p50d0_pm5p0d4	0.50d0	5.0d4
leg_2d_f0p50d0_pm1p728d5	0.50d0	1.728d5
leg_2d_f0p50d0_pm3p456d5	0.50d0	3.456d5
leg_2d_f0p50d0_pm5p456d5	0.50d0	5.456d5
leg_2d_f0p50d0_pm8p64d5	0.50d0	8.64d5
leg_2d_f0p50d0_pm1p728d6	0.50d0	1.728d6
leg_2d_f0p70d0_pm5p0d4	0.70d0	5.0d4
leg_2d_f0p70d0_pm1p728d5	0.70d0	1.728d5
leg_2d_f0p70d0_pm3p456d5	0.70d0	3.456d5
leg_2d_f0p70d0_pm5p456d5	0.70d0	5.456d5
leg_2d_f0p70d0_pm8p64d5	0.70d0	8.64d5
leg_2d_f0p70d0_pm1p728d6	0.70d0	1.728d6
leg_2d_f1p0d0_pm5p0d4	1.0d0	5.0d4
leg_2d_f1p0d0_pm1p728d5	1.0d0	1.728d5
leg_2d_f1p0d0_pm3p456d5	1.0d0	3.456d5
leg_2d_f1p0d0_pm5p456d5	1.0d0	5.456d5
leg_2d_f1p0d0_pm8p64d5	1.0d0	8.64d5
leg_2d_f1p0d0_pm1p728d6	1.0d0	1.728d6
