case	grid_adaptive_interval	grid_update_interval_days	description
mode_0_0p50d	0	0.50d0	Fixed, 0.50d base
mode_m1_0p50d	-1	0.50d0	Photo+cap, 0.50d base
mode_m2_0p50d	-2	0.50d0	Photo, 0.50d base
mode_m3_0p50d	-3	0.50d0	Early-dense, 0.50d base
mode_0_1p00d	0	1.00d0	Fixed, 1.00d base
mode_m1_1p00d	-1	1.00d0	Photo+cap, 1.00d base
mode_m2_1p00d	-2	1.00d0	Photo, 1.00d base
mode_m3_1p00d	-3	1.00d0	Early-dense, 1.00d base
mode_0_2p00d	0	2.00d0	Fixed, 2.00d base
mode_m1_2p00d	-1	2.00d0	Photo+cap, 2.00d base
mode_m2_2p00d	-2	2.00d0	Photo, 2.00d base
mode_m3_2p00d	-3	2.00d0	Early-dense, 2.00d base
mode_0_3p00d	0	3.00d0	Fixed, 3.00d base
mode_m1_3p00d	-1	3.00d0	Photo+cap, 3.00d base
mode_m2_3p00d	-2	3.00d0	Photo, 3.00d base
mode_m3_3p00d	-3	3.00d0	Early-dense, 3.00d base
