case	h_epstol	h_itmax	hr_epstol	hr_itmax
thrlim_base	1.0d-7	100	1.0d-7	300
thrlim_strict10x	1.0d-8	100	1.0d-8	300
thrlim_eps_3e-7	3.0d-7	100	3.0d-7	300
thrlim_eps_1e-6	1.0d-6	100	1.0d-6	300
thrlim_eps_2e-6	2.0d-6	100	2.0d-6	300
thrlim_eps_5e-6	5.0d-6	100	5.0d-6	300
thrlim_eps_1e-5	1.0d-5	100	1.0d-5	300
thrlim_eps_2e-5	2.0d-5	100	2.0d-5	300
thrlim_eps_5e-5	5.0d-5	100	5.0d-5	300
thrlim_eps_1e-4	1.0d-4	100	1.0d-4	300
thrlim_eps_2e-4	2.0d-4	100	2.0d-4	300
thrlim_eps_5e-4	5.0d-4	100	5.0d-4	300
thrlim_it_80_240	1.0d-7	80	1.0d-7	240
thrlim_it_60_200	1.0d-7	60	1.0d-7	200
thrlim_it_40_150	1.0d-7	40	1.0d-7	150
thrlim_it_30_120	1.0d-7	30	1.0d-7	120
thrlim_it_20_90	1.0d-7	20	1.0d-7	90
thrlim_it_15_60	1.0d-7	15	1.0d-7	60
thrlim_it_10_45	1.0d-7	10	1.0d-7	45
thrlim_it_8_30	1.0d-7	8	1.0d-7	30
thrlim_it_6_20	1.0d-7	6	1.0d-7	20
thrlim_combo_a	1.0d-6	40	1.0d-6	150
thrlim_combo_b	2.0d-6	30	2.0d-6	120
thrlim_combo_c	5.0d-6	20	5.0d-6	90
thrlim_combo_d	1.0d-5	15	1.0d-5	60
thrlim_combo_e	2.0d-5	10	2.0d-5	45
thrlim_combo_f	5.0d-5	8	5.0d-5	30
thrlim_combo_g	1.0d-4	6	1.0d-4	20
thrlim_eps_1e-3	1.0d-3	100	1.0d-3	300
thrlim_eps_2e-3	2.0d-3	100	2.0d-3	300
thrlim_eps_5e-3	5.0d-3	100	5.0d-3	300
thrlim_eps_1e-2	1.0d-2	100	1.0d-2	300
thrlim_it_5_15	1.0d-7	5	1.0d-7	15
thrlim_it_4_12	1.0d-7	4	1.0d-7	12
thrlim_it_3_9	1.0d-7	3	1.0d-7	9
thrlim_it_2_6	1.0d-7	2	1.0d-7	6
